segment_index,start,end,duration,active_gateway_count,active_region_count,covered_region_count,active_weight,covered_weight,normalized_coverage
504,33060.0,33120.0,60.0,2,1,1,0.35,0.35,1.0
505,33120.0,33180.0,60.0,2,0,0,0.0,0.0,
506,33180.0,33240.0,60.0,2,1,1,0.25,0.25,1.0
507,33240.0,33360.0,120.0,2,1,1,0.25,0.25,1.0
508,33360.0,33420.0,60.0,2,3,3,0.65,0.65,1.0
509,33420.0,33480.0,60.0,2,2,2,0.4,0.4,1.0
510,33480.0,33508.599,28.59900000000198,2,1,1,0.2,0.2,1.0
511,33508.599,33600.0,91.40099999999802,1,1,0,0.2,0.0,0.0
512,33600.0,33660.0,60.0,1,2,0,0.55,0.0,0.0
513,33660.0,33720.0,60.0,1,1,0,0.35,0.0,0.0
514,33720.0,33780.0,60.0,1,0,0,0.0,0.0,
515,33780.0,33840.0,60.0,1,0,0,0.0,0.0,
516,33840.0,33900.0,60.0,1,1,0,0.25,0.0,0.0
517,33900.0,33960.0,60.0,1,1,0,0.25,0.0,0.0
518,33960.0,34020.0,60.0,1,1,0,0.25,0.0,0.0
519,34020.0,34080.0,60.0,1,2,0,0.45,0.0,0.0
520,34080.0,34140.0,60.0,1,1,0,0.2,0.0,0.0
521,34140.0,34200.0,60.0,1,1,0,0.2,0.0,0.0
522,34200.0,34260.0,60.0,1,2,1,0.55,0.35,0.6363636363636362
523,34260.0,34320.0,60.0,1,1,1,0.35,0.35,1.0
524,34320.0,34380.0,60.0,1,0,0,0.0,0.0,
525,34380.0,34440.0,60.0,1,0,0,0.0,0.0,
526,34440.0,34500.0,60.0,1,1,1,0.25,0.25,1.0
527,34500.0,34620.0,120.0,1,1,1,0.25,0.25,1.0
528,34620.0,34680.0,60.0,1,1,1,0.25,0.25,1.0
529,34680.0,34740.0,60.0,1,1,0,0.2,0.0,0.0
530,34740.0,34860.0,120.0,1,1,0,0.2,0.0,0.0
531,34860.0,34920.0,60.0,1,0,0,0.0,0.0,
532,34920.0,34980.0,60.0,1,0,0,0.0,0.0,
533,34980.0,35040.0,60.0,1,0,0,0.0,0.0,
534,35040.0,35100.0,60.0,1,0,0,0.0,0.0,
535,35100.0,35160.0,60.0,1,1,1,0.25,0.25,1.0
536,35160.0,35220.0,60.0,1,1,1,0.25,0.25,1.0
537,35220.0,35280.0,60.0,1,1,1,0.25,0.25,1.0
538,35280.0,35340.0,60.0,1,0,0,0.0,0.0,
539,35340.0,35400.0,60.0,1,1,1,0.2,0.2,1.0
540,35400.0,35460.0,60.0,1,1,1,0.2,0.2,1.0
541,35460.0,35520.0,60.0,1,0,0,0.0,0.0,
542,35520.0,35580.0,60.0,1,0,0,0.0,0.0,
543,35580.0,35640.0,60.0,1,0,0,0.0,0.0,
544,35640.0,35700.0,60.0,1,0,0,0.0,0.0,
545,35700.0,35760.0,60.0,1,0,0,0.0,0.0,
546,35760.0,35880.0,120.0,1,1,1,0.25,0.25,1.0
547,35880.0,35940.0,60.0,1,0,0,0.0,0.0,
548,35940.0,36000.0,60.0,1,0,0,0.0,0.0,
549,36000.0,36120.0,120.0,1,0,0,0.0,0.0,
550,36120.0,36180.0,60.0,1,0,0,0.0,0.0,
551,36180.0,36240.0,60.0,1,0,0,0.0,0.0,
552,36240.0,36300.0,60.0,1,0,0,0.0,0.0,
553,36300.0,36360.0,60.0,1,0,0,0.0,0.0,
554,36360.0,36420.0,60.0,1,0,0,0.0,0.0,
555,36420.0,36480.0,60.0,1,0,0,0.0,0.0,
556,36480.0,36540.0,60.0,1,0,0,0.0,0.0,
557,36540.0,36600.0,60.0,1,0,0,0.0,0.0,
558,36600.0,36660.0,60.0,1,0,0,0.0,0.0,
559,36660.0,36720.0,60.0,1,0,0,0.0,0.0,
560,36720.0,36780.0,60.0,1,0,0,0.0,0.0,
561,36780.0,36840.0,60.0,1,0,0,0.0,0.0,
562,36840.0,36900.0,60.0,1,0,0,0.0,0.0,
563,36900.0,36960.0,60.0,1,0,0,0.0,0.0,
564,36960.0,37020.0,60.0,1,0,0,0.0,0.0,
565,37020.0,37140.0,120.0,1,0,0,0.0,0.0,
566,37140.0,37200.0,60.0,1,0,0,0.0,0.0,
567,37200.0,37260.0,60.0,1,0,0,0.0,0.0,
568,37260.0,37331.439,71.43899999999849,1,0,0,0.0,0.0,
569,37331.439,37380.0,48.56100000000151,2,0,0,0.0,0.0,
570,37380.0,37440.0,60.0,2,0,0,0.0,0.0,
571,37440.0,37500.0,60.0,2,0,0,0.0,0.0,
572,37500.0,37560.0,60.0,2,0,0,0.0,0.0,
573,37560.0,37620.0,60.0,2,0,0,0.0,0.0,
574,37620.0,37680.0,60.0,2,0,0,0.0,0.0,
575,37680.0,37740.0,60.0,2,0,0,0.0,0.0,
